"","M","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","presUsed","useM","popM.li","latentM"
"570","2014-10",2014,"Brazil","Dilma",45,23,32,31,1,"Ot-Bom",NA,NA,NA,NA,"Ibope","CNI-Ibope","Rodrigues",NA,"DILMA",2014-10-22,"2014-4","DILMA",TRUE,40.75,33.2701579262217
"571","2014-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.875,33.4166134693833
"572","2014-12",2014,"Brazil","Dilma",42,24,33,NA,NA,"Ot-Bom",NA,NA,NA,"Na sua opini_o a presidente Dilma est_ fazendo um 
governo Ętimo, bom, regular, ruim ou p_ssimo?","Datafolha",NA,"http://media.folha.uol.com.br/datafolha/2015/11/30/avaliacao_dilma.pdf","PO813824","DILMA",2014-12-03,"2014-4","DILMA",TRUE,41,33.0775618151454
"573","2014-12",2014,"Brazil","Dilma",40,27,33,32,1,"Ot-Bom",NA,NA,NA,NA,"Ibope","CNI-Ibope",NA,NA,"DILMA",2014-12-15,"2014-4","DILMA",TRUE,41,33.0775618151454
"574","2015-01",2015,"Brazil","Dilma",29,42,NA,29,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-01-15,"2015-1","DILMA",TRUE,29,44.673445473187
"575","2015-02",2015,"Brazil","Dilma",23,44,33,NA,1,"Ot-Bom",NA,NA,NA,"Na sua opini_o a presidente Dilma est_ fazendo um 
governo Ętimo, bom, regular, ruim ou p_ssimo?","Datafolha",NA,"http://media.folha.uol.com.br/datafolha/2015/11/30/avaliacao_dilma.pdf","PO813824","DILMA",2015-02-05,"2015-1","DILMA",TRUE,20.5,30.8625562341111
"576","2015-02",2015,"Brazil","Dilma",18,50,NA,31,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-02-15,"2015-1","DILMA",TRUE,20.5,30.8625562341111
"577","2015-03",2015,"Brazil","Dilma",12,64,24,23,1,"Ot-Bom",NA,NA,NA,NA,"Ibope","CNI-Ibope",NA,NA,"DILMA",2015-03-15,"2015-1","DILMA",TRUE,12.45,20.5176380300608
"578","2015-03",2015,"Brazil","Dilma",14,57,NA,27,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-03-15,"2015-1","DILMA",TRUE,12.45,20.5176380300608
"579","2015-03",2015,"Brazil","Dilma",13,62,24,NA,1,"Ot-Bom",NA,NA,NA,"Na sua opini_o a presidente Dilma est_ fazendo um 
governo Ętimo, bom, regular, ruim ou p_ssimo?","Datafolha",NA,"http://media.folha.uol.com.br/datafolha/2015/11/30/avaliacao_dilma.pdf","PO813824","DILMA",2015-03-17,"2015-1","DILMA",TRUE,12.45,20.5176380300608
"580","2015-03",2015,"Brazil","Dilma",10.8,64.8,24.4,23.6,0.8,"Ot-Bom",NA,2002,"Cotas-Personal","O (a) Sr.(a) avalia o governo da Presidente Dilma Rousseff como:","MDA","CNT-MDA","http://www.cnt.org.br/Imagens%20CNT/Not%C3%ADcias/2015/relatoriosintese127.pdf",NA,"DILMA",2015-03-19,"2015-1","DILMA",TRUE,12.45,20.5176380300608
"581","2015-04",2015,"Brazil","Dilma",13,60,27,NA,1,"Ot-Bom",NA,NA,NA,"Na sua opini_o a presidente Dilma est_ fazendo um 
governo Ętimo, bom, regular, ruim ou p_ssimo?","Datafolha",NA,"http://media.folha.uol.com.br/datafolha/2015/11/30/avaliacao_dilma.pdf","PO813824","DILMA",2015-04-10,"2015-2","DILMA",TRUE,11.5,18.5878322897256
"582","2015-04",2015,"Brazil","Dilma",10,61,NA,29,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-04-15,"2015-2","DILMA",TRUE,11.5,18.5878322897256
"583","2015-05",2015,"Brazil","Dilma",9,69,NA,22,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-05-15,"2015-2","DILMA",TRUE,9,15.1733676970658
"584","2015-06",2015,"Brazil","Dilma",7,73,NA,20,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-06-15,"2015-2","DILMA",TRUE,8.5,14.6686944536933
"585","2015-06",2015,"Brazil","Dilma",10,65,24,NA,1,"Ot-Bom",NA,NA,NA,"Na sua opini_o a presidente Dilma est_ fazendo um 
governo Ętimo, bom, regular, ruim ou p_ssimo?","Datafolha",NA,"http://media.folha.uol.com.br/datafolha/2015/11/30/avaliacao_dilma.pdf","PO813824","DILMA",2015-06-18,"2015-2","DILMA",TRUE,8.5,14.6686944536933
"586","2015-07",2015,"Brazil","Dilma",6,76,NA,18,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-07-15,"2015-3","DILMA",TRUE,6.85,11.937844488813
"587","2015-07",2015,"Brazil","Dilma",7.7,70.9,21.4,20.5,0.9,"Ot-Bom",NA,2002,"Cotas-Personal","O (a) Sr.(a) avalia o governo da Presidente Dilma Rousseff como:","MDA","CNT-MDA","http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/pesquisa-cntmda-128-relatorio-sintese.pdf",NA,"DILMA",2015-07-16,"2015-3","DILMA",TRUE,6.85,11.937844488813
"588","2015-08",2015,"Brazil","Dilma",8,71,20,NA,1,"Ot-Bom",NA,NA,NA,"Na sua opini_o a presidente Dilma est_ fazendo um 
governo Ętimo, bom, regular, ruim ou p_ssimo?","Datafolha",NA,"http://media.folha.uol.com.br/datafolha/2015/11/30/avaliacao_dilma.pdf","PO813824","DILMA",2015-08-05,"2015-3","DILMA",TRUE,6.5,12.400788288563
"589","2015-08",2015,"Brazil","Dilma",5,75,NA,18,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-08-15,"2015-3","DILMA",TRUE,6.5,12.400788288563
"590","2015-09",2015,"Brazil","Dilma",4,82,NA,13,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-09-15,"2015-3","DILMA",TRUE,7,11.2654919164467
"591","2015-09",2015,"Brazil","Dilma",10,69,22,21,1,"Ot-Bom",NA,2002,NA,NA,"Ibope","CNI-Ibope","file: CNI-IBOPE Set2015.pdf",NA,"DILMA",2015-09-21,"2015-3","DILMA",TRUE,7,11.2654919164467
"592","2015-10",2015,"Brazil","Dilma",4,81,NA,14,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-10-15,"2015-4","DILMA",TRUE,6.4,9.84237424546247
"593","2015-10",2015,"Brazil","Dilma",8.8,70,21.2,20.4,0.8,"Ot-Bom",NA,2002,"Cotas-Personal","O (a) Sr.(a) avalia o governo da Presidente Dilma Rousseff como:","MDA","CNT-MDA","http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%202015/Relatorio%20SINTESE%20-%20CNTMDA%20129.pdf",NA,"DILMA",2015-10-24,"2015-4","DILMA",TRUE,6.4,9.84237424546247
"594","2015-11",2015,"Brazil","Dilma",4,78,NA,17,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-11-15,"2015-4","DILMA",TRUE,7,12.0929486029469
"595","2015-11",2015,"Brazil","Dilma",10,67,22,NA,1,"Ot-Bom",NA,3541,NA,"Na sua opini_o a presidente Dilma est_ fazendo um 
governo Ętimo, bom, regular, ruim ou p_ssimo?","Datafolha",NA,"http://media.folha.uol.com.br/datafolha/2015/11/30/avaliacao_dilma.pdf","PO813824","DILMA",2015-11-26,"2015-4","DILMA",TRUE,7,12.0929486029469
"596","2015-12",2015,"Brazil","Dilma",9,70,NA,20,1,"Ot-Bom",NA,NA,NA,NA,"Ibope","CNI-Ibope",NA,NA,"DILMA",2015-12-15,"2015-4","DILMA",TRUE,8.66666666666667,12.9122445110337
"597","2015-12",2015,"Brazil","Dilma",5,77,NA,17,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2015-12-15,"2015-4","DILMA",TRUE,8.66666666666667,12.9122445110337
"598","2015-12",2015,"Brazil","Dilma",12,65,NA,22,1,"Ot-Bom",NA,NA,NA,"Na sua opiniľo a presidente Dilma est_ faze
ndo um governo †timo, bom, 
regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://media.folha.uol.com.br/datafolha/2016/04/11/avaliacao-presidente-dilma.pdf",NA,"DILMA",2015-12-17,"2015-4","DILMA",TRUE,8.66666666666667,12.9122445110337
"599","2016-01",2016,"Brazil","Dilma",5,79,NA,15,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2016-01-15,"2016-1","DILMA",TRUE,5,10.5546113127235
"600","2016-02",2016,"Brazil","Dilma",5,75,NA,18,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2016-02-15,"2016-1","DILMA",TRUE,9.13333333333333,13.1535821939809
"601","2016-02",2016,"Brazil","Dilma",11.4,62.4,25.2,NA,NA,"Ot-Bom",NA,2002,NA,"O (a) Sr.(a) avalia o governo da Presidente Dilma Rousseff como:","MDA","CNT-MDA","http://cnt.mdapesquisa.com.br/img/RelatorioSINTESE-CNTFEVEREIRO2016-R130-FINAL.pdf",NA,"DILMA",2016-02-21,"2016-1","DILMA",TRUE,9.13333333333333,13.1535821939809
"602","2016-02",2016,"Brazil","Dilma",11,64,NA,25,1,"Ot-Bom",NA,NA,NA,"Na sua opiniľo a presidente Dilma est_ faze
ndo um governo †timo, bom, 
regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://media.folha.uol.com.br/datafolha/2016/04/11/avaliacao-presidente-dilma.pdf",NA,"DILMA",2016-02-25,"2016-1","DILMA",TRUE,9.13333333333333,13.1535821939809
"603","2016-03",2016,"Brazil","Dilma",5,81,NA,14,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2016-03-15,"2016-1","DILMA",TRUE,8.33333333333333,12.8578873891393
"604","2016-03",2016,"Brazil","Dilma",10,69,NA,21,1,"Ot-Bom",NA,NA,NA,"Na sua opiniľo a presidente Dilma est_ faze
ndo um governo †timo, bom, 
regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://media.folha.uol.com.br/datafolha/2016/04/11/avaliacao-presidente-dilma.pdf",NA,"DILMA",2016-03-18,"2016-1","DILMA",TRUE,8.33333333333333,12.8578873891393
"605","2016-03",2016,"Brazil","Dilma",10,69,NA,19,1,"Ot-Bom",NA,2002,NA,NA,"Ibope","CNI-Ibope","http://arquivos.portaldaindustria.com.br/app/cni_estatistica_2/2016/03/30/31/Pesquisa_CNI-IBOPE_Avaliacao_do_Governo_Marco2016_Relatorio_de_divulgacao.pdf",NA,"DILMA",2016-03-20,"2016-1","DILMA",TRUE,8.33333333333333,12.8578873891393
"606","2016-04",2016,"Brazil","Dilma",13,63,NA,24,1,"Ot-Bom",NA,2779,NA,"Na sua opiniľo a presidente Dilma est_ faze
ndo um governo †timo, bom, 
regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://media.folha.uol.com.br/datafolha/2016/04/11/avaliacao-presidente-dilma.pdf",NA,"DILMA",2016-04-08,"2016-2","DILMA",TRUE,9.5,14.8308609081385
"607","2016-04",2016,"Brazil","Dilma",6,76,NA,17,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2016-04-15,"2016-2","DILMA",TRUE,9.5,14.8308609081385
"608","2016-05",2016,"Brazil","Dilma",9,69,NA,21,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"DILMA",2016-05-15,"2016-2","DILMA",TRUE,9,17.7859536815022
"609","2016-06",2016,"Brazil","Temer",11.3,28,NA,30.2,30.5,"Ot-Bom",NA,2002,NA,"O (a) Sr. (a) avalia o governo do presidente Michel Temer como: Ótimo, Bom, Regular, Ruim, ou P_ssimo?","MDA","CNT/MDA","https://www.cnt.org.br/pesquisas",NA,"TEMER",2016-06-05,"2016-2","TEMER",TRUE,9.43333333333333,13.6590243323287
"610","2016-06",2016,"Brazil","Temer",11,34,NA,33,21,"Ot-Bom",NA,2000,NA,NA,"Vox","CUT/Vox Populi","https://www.cut.org.br/noticias/pesquisa-cut-vox-populi-constata-que-para-sociedade-trabalhadores-sao-os-mais-pr-e97e",NA,"TEMER",2016-06-09,"2016-2","TEMER",TRUE,9.43333333333333,13.6590243323287
"611","2016-06",2016,"Brazil","Temer",6,43,NA,29,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2016-06-15,"2016-2","TEMER",TRUE,9.43333333333333,13.6590243323287
"612","2016-07",2016,"Brazil","Temer",14,31,NA,42,13,"Ot-Bom",NA,2792,NA,"Na sua opinićo o presidente Michel Temer est_ fazendo um governo Ütimo, bom, regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://datafolha.folha.uol.com.br/opiniaopublica/2016/07/1792812-governo-temer-e-aprovado-por-14.shtml",NA,"TEMER",2016-07-15,"2016-3","TEMER",TRUE,10.5,15.7482142574942
"613","2016-07",2016,"Brazil","Temer",7,48,NA,29,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2016-07-15,"2016-3","TEMER",TRUE,10.5,15.7482142574942
"614","2016-08",2016,"Brazil","Temer",8,49,NA,31,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2016-08-15,"2016-3","TEMER",TRUE,8,16.5215740629134
"615","2016-09",2016,"Brazil","Temer",8,45,NA,31,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2016-09-15,"2016-3","TEMER",TRUE,8,16.5907006398956
"616","2016-10",2016,"Brazil","Temer",11,34,NA,40,15,"Ot-Bom",NA,2000,NA,NA,"Vox","CUT/Vox Populi","https://www.cut.org.br/noticias/pec-do-juizo-final-e-reforma-da-previdencia-sao-rejeitadas-por-80-dos-brasileiro-a0cd",NA,"TEMER",2016-10-13,"2016-4","TEMER",TRUE,11.5333333333333,15.8589326770071
"617","2016-10",2016,"Brazil","Temer",9,46,NA,32,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2016-10-15,"2016-4","TEMER",TRUE,11.5333333333333,15.8589326770071
"618","2016-10",2016,"Brazil","Temer",14.6,36.7,NA,36.1,12.6,"Ot-Bom",NA,2002,NA,"O (a) Sr. (a) avalia o governo do presidente Michel Temer como: Ótimo, Bom, Regular, Ruim, ou P_ssimo?","MDA","CNT/MDA","https://www.cnt.org.br/pesquisas",NA,"TEMER",2016-10-16,"2016-4","TEMER",TRUE,11.5333333333333,15.8589326770071
"619","2016-11",2016,"Brazil","Temer",7,52,NA,31,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2016-11-15,"2016-4","TEMER",TRUE,7,14.8174580293985
"620","2016-12",2016,"Brazil","Temer",10,51,NA,34,5,"Ot-Bom",NA,2828,NA,"Na sua opinićo o presidente Michel Temer est_ fazendo um governo Ütimo, bom, regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://datafolha.folha.uol.com.br/opiniaopublica/2016/12/1840600-reprovacao-a-temer-sobe-para-51.shtml",NA,"TEMER",2016-12-08,"2016-4","TEMER",TRUE,8.66666666666667,14.404099915452
"621","2016-12",2016,"Brazil","Temer",8,55,NA,32,6,"Ot-Bom",NA,2500,NA,NA,"Vox","CUT/Vox Populi","https://www.cut.org.br/noticias/cut-vox-confirma-temer-e-o-pior-presidente-do-brasil-bc87",NA,"TEMER",2016-12-14,"2016-4","TEMER",TRUE,8.66666666666667,14.404099915452
"622","2016-12",2016,"Brazil","Temer",8,62,NA,24,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2016-12-15,"2016-4","TEMER",TRUE,8.66666666666667,14.404099915452
"623","2017-01",2017,"Brazil","Temer",6,59,NA,27,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-01-15,"2017-1","TEMER",TRUE,6,13.0834863675265
"624","2017-02",2017,"Brazil","Temer",10.3,44.1,NA,38.9,6.7,"Ot-Bom",NA,2002,NA,"O (a) Sr. (a) avalia o governo do presidente Michel Temer como: Ótimo, Bom, Regular, Ruim, ou P_ssimo?","MDA","CNT/MDA","https://www.cnt.org.br/pesquisas",NA,"TEMER",2017-02-11,"2017-1","TEMER",TRUE,8.65,13.7493694885096
"625","2017-02",2017,"Brazil","Temer",7,59,NA,29,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-02-15,"2017-1","TEMER",TRUE,8.65,13.7493694885096
"626","2017-03",2017,"Brazil","Temer",10,55,NA,31,4,"Ot-Bom",NA,2000,NA,"Na sua avaliaŤÜo, o governo do presidente Jair Bolsonaro estŕ sendo:","IBOPE","CNI/IBOPE","https://www.ibopeinteligencia.com/arquivos/JOB_0445_CNI%20-%20Relat%C3%B3rio%20de%20tabelas%20(Avalia%C3%A7%C3%A3o%20do%20governo).pdf",NA,"TEMER",2017-03-15,"2017-1","TEMER",TRUE,8,12.8566390217039
"627","2017-03",2017,"Brazil","Temer",6,62,NA,26,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-03-15,"2017-1","TEMER",TRUE,8,12.8566390217039
"628","2017-04",2017,"Brazil","Temer",5,65,NA,28,2,"Ot-Bom",NA,2000,NA,NA,"Vox","CUT/Vox Populi","https://pt.org.br/reforma-da-previdencia-e-rejeitada-por-93-diz-pesquisa/",NA,"TEMER",2017-04-10,"2017-2","TEMER",TRUE,5.75,10.7535985291005
"629","2017-04",2017,"Brazil","Temer",4,75,NA,19,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-04-15,"2017-2","TEMER",TRUE,5.75,10.7535985291005
"630","2017-04",2017,"Brazil","Temer",5,64,NA,28,3,"Ot-Bom",NA,2058,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","file: DataPoder360-abr2017.pdf",NA,"TEMER",2017-04-17,"2017-2","TEMER",TRUE,5.75,10.7535985291005
"631","2017-04",2017,"Brazil","Temer",9,61,NA,28,3,"Ot-Bom",NA,2781,NA,"Na sua opinićo o presidente Michel Temer est_ fazendo um governo Ütimo, bom, regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://datafolha.folha.uol.com.br/opiniaopublica/2017/05/1880373-governo-temer-e-reprovado-por-61-dos-brasileiros.shtml",NA,"TEMER",2017-04-27,"2017-2","TEMER",TRUE,5.75,10.7535985291005
"632","2017-05",2017,"Brazil","Temer",10,65,NA,23,2,"Ot-Bom",NA,2157,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","file: DataPoder360-mai2017.pdf",NA,"TEMER",2017-05-08,"2017-2","TEMER",TRUE,6.5,7.77455521794413
"633","2017-05",2017,"Brazil","Temer",3,80,NA,15,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-05-15,"2017-2","TEMER",TRUE,6.5,7.77455521794413
"634","2017-06",2017,"Brazil","Temer",3,75,NA,20,2,"Ot-Bom",NA,NA,NA,NA,"Vox","CUT/Vox Populi","https://www.cut.org.br/noticias/cut-vox-aponta-quase-90-do-brasil-quer-cassacao-de-temer-e-diretas-ja-dd8c",NA,"TEMER",2017-06-04,"2017-2","TEMER",TRUE,3.5,8.06086965616394
"635","2017-06",2017,"Brazil","Temer",2,84,NA,12,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-06-15,"2017-2","TEMER",TRUE,3.5,8.06086965616394
"636","2017-06",2017,"Brazil","Temer",2,75,NA,18,5,"Ot-Bom",NA,2096,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","file: DataPoder360_junho.pdf",NA,"TEMER",2017-06-19,"2017-2","TEMER",TRUE,3.5,8.06086965616394
"637","2017-06",2017,"Brazil","Temer",7,69,NA,23,2,"Ot-Bom",NA,2771,NA,"Na sua opinićo o presidente Michel Temer est_ fazendo um governo Ütimo, bom, regular, ruim ou p_ssimo?","Datafolha","Datafolha","http://datafolha.folha.uol.com.br/opiniaopublica/2017/06/1896143-somente-7-aprovam-governo-temer.shtml",NA,"TEMER",2017-06-23,"2017-2","TEMER",TRUE,3.5,8.06086965616394
"638","2017-07",2017,"Brazil","Temer",7,76,NA,16,2,"Ot-Bom",NA,2178,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","file: DataPoder360-julho2017.pdf",NA,"TEMER",2017-07-10,"2017-3","TEMER",TRUE,4.66666666666667,7.53242230447955
"639","2017-07",2017,"Brazil","Temer",5,70,NA,21,3,"Ot-Bom",NA,2000,NA,"Na sua avaliaŤÜo, o governo do presidente Jair Bolsonaro estŕ sendo:","IBOPE","CNI/IBOPE","https://www.ibopeinteligencia.com/arquivos/JOB_0445_CNI%20-%20Relat%C3%B3rio%20de%20tabelas%20(Avalia%C3%A7%C3%A3o%20do%20governo).pdf",NA,"TEMER",2017-07-15,"2017-3","TEMER",TRUE,4.66666666666667,7.53242230447955
"640","2017-07",2017,"Brazil","Temer",2,85,NA,11,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-07-15,"2017-3","TEMER",TRUE,4.66666666666667,7.53242230447955
"641","2017-08",2017,"Brazil","Temer",5,75,NA,15,5,"Ot-Bom",NA,2088,NA,"De maneira geral, como voc� avalia o trabalho do presidente Jair Bolsonaro?","DataPoder360","DataPoder360","file: DataPoder360-agosto2017.pdf",NA,"TEMER",2017-08-14,"2017-3","TEMER",TRUE,3,3.99752324137733
"642","2017-08",2017,"Brazil","Temer",1,86,NA,12,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-08-15,"2017-3","TEMER",TRUE,3,3.99752324137733
"643","2017-09",2017,"Brazil","Temer",3,77,NA,16,3,"Ot-Bom",NA,2000,NA,"Na sua avaliaŤÜo, o governo do presidente Jair Bolsonaro estŕ sendo:","IBOPE","CNI/IBOPE","https://www.ibopeinteligencia.com/arquivos/JOB_0445_CNI%20-%20Relat%C3%B3rio%20de%20tabelas%20(Avalia%C3%A7%C3%A3o%20do%20governo).pdf",NA,"TEMER",2017-09-15,"2017-3","TEMER",TRUE,3.28,7.02559840585202
"644","2017-09",2017,"Brazil","Temer",2,84,NA,12,NA,"Ot-Bom",NA,NA,NA,NA,"IPSOS",NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2018-10/ipsos_pulso_brasil_2018_09_-_one_pager_ptbr.pdf",NA,"TEMER",2017-09-15,"2017-3","TEMER",TRUE,3.28,7.02559840585202
"645","2017-09",2017,"Brazil","Temer",3.4,75.6,NA,18,3,"Ot-Bom",NA,2002,NA,"O (a) Sr. (a) avalia o governo do presidente Michel Temer como: Ótimo, Bom, Regular, Ruim, ou P_ssimo?","MDA","CNT/MDA","https://www.cnt.org.br/pesquisas",NA,"TEMER",2017-09-16,"2017-3","TEMER",TRUE,3.28,7.02559840585202
