"","year","Country","President","Positive","Negative","DK-Neutral","Neutral","DK","QuestType","SampleType","SampleSize","SampleMode","Question","Institute","SurveyName","Source","Notes","PresidentS","date","Q","M"
"276",2003,"Brazil","Lula",47.7,9.4,43.1,34.8,8.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-04-19,"2003-2","2003-04"
"277",2003,"Brazil","Lula",51.6,7.2,41.3,35.7,5.6,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-05-30,"2003-2","2003-05"
"278",2003,"Brazil","Lula",43,11,46,38,8,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2003-06-20,"2003-2","2003-06"
"279",2003,"Brazil","Lula",42,11,47,43,4,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-06-25,"2003-2","2003-06"
"280",2003,"Brazil","Lula",46.3,10.3,43.5,38.8,4.7,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-07-11,"2003-3","2003-07"
"281",2003,"Brazil","Lula",45,11,45,42,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-08-22,"2003-3","2003-08"
"282",2003,"Brazil","Lula",48.3,10,41.8,38.6,3.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-08-22,"2003-3","2003-08"
"283",2003,"Brazil","Lula",43,14,44,40,4,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2003-09-22,"2003-3","2003-09"
"284",2003,"Brazil","Lula",41.6,12.3,46.2,42.3,3.9,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-10-17,"2003-4","2003-10"
"285",2003,"Brazil","Lula",42,11,47,44,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-10-29,"2003-4","2003-10"
"286",2003,"Brazil","Lula",41,12.9,46.2,41.9,4.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2003-12-04,"2003-4","2003-12"
"287",2003,"Brazil","Lula",41,14,45,43,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2003-12-08,"2003-4","2003-12"
"288",2003,"Brazil","Lula",42,15,43,41,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2003-12-15,"2003-4","2003-12"
"289",2004,"Brazil","Lula",39.9,15.1,45.1,40.6,4.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-02-06,"2004-1","2004-02"
"290",2004,"Brazil","Lula",38,17,45,43,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2004-03-01,"2004-1","2004-03"
"291",2004,"Brazil","Lula",34,23,43,41,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2004-03-25,"2004-1","2004-03"
"292",2004,"Brazil","Lula",34.6,19.4,46,42.7,3.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-03-26,"2004-1","2004-03"
"293",2004,"Brazil","Lula",34.6,20,45.6,43.5,2.1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-05-09,"2004-2","2004-05"
"294",2004,"Brazil","Lula",29.4,24.1,46.6,44.2,2.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-06-17,"2004-2","2004-06"
"295",2004,"Brazil","Lula",29,26,44,42,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2004-06-21,"2004-2","2004-06"
"296",2004,"Brazil","Lula",38.2,17.7,44.3,40.8,3.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-08-05,"2004-3","2004-08"
"297",2004,"Brazil","Lula",35,17,48,45,3,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2004-08-19,"2004-3","2004-08"
"298",2004,"Brazil","Lula",41.3,16.4,42.5,39.1,3.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-09-23,"2004-3","2004-09"
"299",2004,"Brazil","Lula",41,16,43,41,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2004-11-29,"2004-4","2004-11"
"300",2004,"Brazil","Lula",44.5,14.4,41.3,38.2,3.1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2004-12-09,"2004-4","2004-12"
"301",2004,"Brazil","Lula",45,13,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2004-12-17,"2004-4","2004-12"
"302",2005,"Brazil","Lula",42.6,13.9,43.7,39.9,3.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-02-17,"2005-1","2005-02"
"303",2005,"Brazil","Lula",39,17,44,41,3,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-03-14,"2005-1","2005-03"
"304",2005,"Brazil","Lula",41.9,16,42.3,39.8,2.5,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-04-14,"2005-2","2005-04"
"305",2005,"Brazil","Lula",39.8,18.8,41.6,38.3,3.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-05-27,"2005-2","2005-05"
"306",2005,"Brazil","Lula",35,18,46,45,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-06-01,"2005-2","2005-06"
"307",2005,"Brazil","Lula",37,21,42,40,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-06-06,"2005-2","2005-06"
"308",2005,"Brazil","Lula",35,22,43,41,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-06-13,"2005-2","2005-06"
"309",2005,"Brazil","Lula",36,19,45,44,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-06-16,"2005-2","2005-06"
"310",2005,"Brazil","Lula",40.3,20,39.9,37.1,2.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-07-07,"2005-3","2005-07"
"311",2005,"Brazil","Lula",36,24,41,40,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-07-18,"2005-3","2005-07"
"312",2005,"Brazil","Lula",35,23,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-07-21,"2005-3","2005-07"
"313",2005,"Brazil","Lula",31,26,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-08-10,"2005-3","2005-08"
"314",2005,"Brazil","Lula",29,31,40,38,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-08-17,"2005-3","2005-08"
"315",2005,"Brazil","Lula",29,31,40,38,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-08-22,"2005-3","2005-08"
"316",2005,"Brazil","Lula",35.8,24,40.4,38.2,2.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-09-08,"2005-3","2005-09"
"317",2005,"Brazil","Lula",29,32,38,36,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-09-12,"2005-3","2005-09"
"318",2005,"Brazil","Lula",30,28,42,41,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-10-13,"2005-4","2005-10"
"319",2005,"Brazil","Lula",28,28,44,42,2,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-10-21,"2005-4","2005-10"
"320",2005,"Brazil","Lula",31.1,29,39.9,37.6,2.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2005-11-17,"2005-4","2005-11"
"321",2005,"Brazil","Lula",29,32,39,37,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2005-12-07,"2005-4","2005-12"
"322",2005,"Brazil","Lula",28,29,42,41,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2005-12-14,"2005-4","2005-12"
"323",2006,"Brazil","Lula",33,27,40,39,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-01-16,"2006-1","2006-01"
"324",2006,"Brazil","Lula",36,23,40,39,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-02-02,"2006-1","2006-02"
"325",2006,"Brazil","Lula",37.5,21.4,41.2,40,1.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-02-09,"2006-1","2006-02"
"326",2006,"Brazil","Lula",37,22,40,39,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-02-21,"2006-1","2006-02"
"327",2006,"Brazil","Lula",38,22,40,39,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-03-11,"2006-1","2006-03"
"328",2006,"Brazil","Lula",38,23,39,38,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-03-17,"2006-1","2006-03"
"329",2006,"Brazil","Lula",37.6,24.1,38.5,36.7,1.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-04-06,"2006-2","2006-04"
"330",2006,"Brazil","Lula",37,23,39,38,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-04-07,"2006-2","2006-04"
"331",2006,"Brazil","Lula",38.3,22.2,39.7,37.5,2.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-05-21,"2006-2","2006-05"
"332",2006,"Brazil","Lula",39,22,38,37,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-05-24,"2006-2","2006-05"
"333",2006,"Brazil","Lula",38,19,42,41,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-05-30,"2006-2","2006-05"
"334",2006,"Brazil","Lula",44,19,37,36,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-06-07,"2006-2","2006-06"
"335",2006,"Brazil","Lula",41,19.3,39.8,38.5,1.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-07-06,"2006-3","2006-07"
"336",2006,"Brazil","Lula",38,21,41,40,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-07-18,"2006-3","2006-07"
"337",2006,"Brazil","Lula",39,23,37,36,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-07-24,"2006-3","2006-07"
"338",2006,"Brazil","Lula",40,19,41,40,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-07-31,"2006-3","2006-07"
"339",2006,"Brazil","Lula",43.6,15.6,40.9,39.5,1.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2006-08-04,"2006-3","2006-08"
"340",2006,"Brazil","Lula",45,18,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-08-08,"2006-3","2006-08"
"341",2006,"Brazil","Lula",41,22,36,35,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-08-09,"2006-3","2006-08"
"342",2006,"Brazil","Lula",41,21,39,37,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-08-17,"2006-3","2006-08"
"343",2006,"Brazil","Lula",52,16,32,31,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-08-22,"2006-3","2006-08"
"344",2006,"Brazil","Lula",44,17,40,38,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-08-25,"2006-3","2006-08"
"345",2006,"Brazil","Lula",48,16,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-08-29,"2006-3","2006-08"
"346",2006,"Brazil","Lula",43,18,39,38,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-08-31,"2006-3","2006-08"
"347",2006,"Brazil","Lula",48,18,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-05,"2006-3","2006-09"
"348",2006,"Brazil","Lula",46,19,36,35,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-09-07,"2006-3","2006-09"
"349",2006,"Brazil","Lula",49,16,34,33,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-09-11,"2006-3","2006-09"
"350",2006,"Brazil","Lula",46,18,36,35,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-12,"2006-3","2006-09"
"351",2006,"Brazil","Lula",48,18,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-19,"2006-3","2006-09"
"352",2006,"Brazil","Lula",43,19,38,37,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-09-20,"2006-3","2006-09"
"353",2006,"Brazil","Lula",46,18,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-22,"2006-3","2006-09"
"354",2006,"Brazil","Lula",43,20,37,36,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-09-22,"2006-3","2006-09"
"355",2006,"Brazil","Lula",44,21,36,35,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-09-26,"2006-3","2006-09"
"356",2006,"Brazil","Lula",47,17,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-09-27,"2006-3","2006-09"
"357",2006,"Brazil","Lula",49,17,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-10-06,"2006-4","2006-10"
"358",2006,"Brazil","Lula",49,17,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-10-10,"2006-4","2006-10"
"359",2006,"Brazil","Lula",45,20,34,33,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-10-11,"2006-4","2006-10"
"360",2006,"Brazil","Lula",51,15,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-10-17,"2006-4","2006-10"
"361",2006,"Brazil","Lula",50,15,34,33,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-10-19,"2006-4","2006-10"
"362",2006,"Brazil","Lula",53,15,32,31,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-10-24,"2006-4","2006-10"
"363",2006,"Brazil","Lula",51,15,33,32,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-10-25,"2006-4","2006-10"
"364",2006,"Brazil","Lula",57,13,30,28,2,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2006-12-10,"2006-4","2006-12"
"365",2006,"Brazil","Lula",52,14,35,34,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2006-12-13,"2006-4","2006-12"
"366",2007,"Brazil","Lula",48,14,38,37,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2007-03-20,"2007-1","2007-03"
"367",2007,"Brazil","Lula",49,16,34,33,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2007-04-02,"2007-2","2007-04"
"368",2007,"Brazil","Lula",49.5,14.6,36.1,34.3,1.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2007-04-06,"2007-2","2007-04"
"369",2007,"Brazil","Lula",47.5,14,38.5,36.5,2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2007-06-22,"2007-2","2007-06"
"370",2007,"Brazil","Lula",50,16,34,33,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2007-07-01,"2007-3","2007-07"
"371",2007,"Brazil","Lula",48,15,37,36,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2007-08-02,"2007-3","2007-08"
"372",2007,"Brazil","Lula",48,18,33,32,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2007-09-18,"2007-3","2007-09"
"373",2007,"Brazil","Lula",46.5,16.5,37,35.9,1.1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"CNT Website",NA,"LULA",2007-10-15,"2007-4","2007-10"
"374",2007,"Brazil","Lula",51,17,41,31,10,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2007-12-05,"2007-4","2007-12"
"375",2008,"Brazil","Lula",52.7,13.7,33.8,32.5,1.3,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2008-02-16,"2008-1","2008-02"
"376",2008,"Brazil","Lula",58,11,31,30,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2008-03-23,"2008-1","2008-03"
"377",2008,"Brazil","Lula",55,11,34,33,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2008-03-27,"2008-1","2008-03"
"378",2008,"Brazil","Lula",57.5,11.3,31.4,29.6,1.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2008-04-25,"2008-2","2008-04"
"379",2008,"Brazil","Lula",58,12,30,29,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2008-06-23,"2008-2","2008-06"
"380",2008,"Brazil","Lula",64,8,29,28,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2008-09-11,"2008-3","2008-09"
"381",2008,"Brazil","Lula",68.8,6.8,24.4,23.2,1.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2008-09-19,"2008-3","2008-09"
"382",2008,"Brazil","Lula",69,8,24,23,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2008-09-22,"2008-3","2008-09"
"383",2008,"Brazil","Lula",70,7,23,23,0,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2008-11-28,"2008-4","2008-11"
"384",2008,"Brazil","Lula",73,6,20,20,0,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2008-12-08,"2008-4","2008-12"
"385",2008,"Brazil","Lula",71.1,6.4,22.6,21.6,1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2008-12-12,"2008-4","2008-12"
"386",2009,"Brazil","Lula",72.5,5,22.5,21.7,0.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2009-01-30,"2009-1","2009-01"
"387",2009,"Brazil","Lula",64,10,26,25,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2009-03-15,"2009-1","2009-03"
"388",2009,"Brazil","Lula",65,8,27,27,0,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2009-03-19,"2009-1","2009-03"
"389",2009,"Brazil","Lula",62.4,7.6,30.1,29.1,1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2009-03-29,"2009-1","2009-03"
"390",2009,"Brazil","Lula",69,6,25,24,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2009-05-28,"2009-2","2009-05"
"391",2009,"Brazil","Lula",68.8,5.8,24.5,23.9,0.6,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2009-05-29,"2009-2","2009-05"
"392",2009,"Brazil","Lula",68,8,24,24,0,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2009-06-01,"2009-2","2009-06"
"393",2009,"Brazil","Lula",67,8,26,25,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2009-08-13,"2009-3","2009-08"
"394",2009,"Brazil","Lula",66.4,7.2,27.6,26.6,1,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2009-09-04,"2009-3","2009-09"
"395",2009,"Brazil","Lula",69,9,22,22,0,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2009-09-14,"2009-3","2009-09"
"396",2009,"Brazil","Lula",70,6.2,23.9,22.7,1.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2009-11-20,"2009-4","2009-11"
"397",2009,"Brazil","Lula",72,6,21,21,0,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2009-11-30,"2009-4","2009-11"
"398",2009,"Brazil","Lula",72,6,22,21,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2009-12-18,"2009-4","2009-12"
"399",2010,"Brazil","Lula",71.5,5.8,22.9,22,0.9,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2010-01-29,"2010-1","2010-01"
"400",2010,"Brazil","Lula",73,5,21,20,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-02-25,"2010-1","2010-02"
"401",2010,"Brazil","Lula",75,5,20,19,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-03-10,"2010-1","2010-03"
"402",2010,"Brazil","Lula",76,4,21,20,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-03-26,"2010-1","2010-03"
"403",2010,"Brazil","Lula",72.8,5.9,21.4,20.2,1.2,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2010-04-09,"2010-2","2010-04"
"404",2010,"Brazil","Lula",73,5,23,22,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-04-16,"2010-2","2010-04"
"405",2010,"Brazil","Lula",76,5,18,18,0,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-04-18,"2010-2","2010-04"
"406",2010,"Brazil","Lula",76.1,4.4,19.6,19.2,0.4,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2010-05-14,"2010-2","2010-05"
"407",2010,"Brazil","Lula",76,5,20,19,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-05-21,"2010-2","2010-05"
"408",2010,"Brazil","Lula",76,5,21,20,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-06-03,"2010-2","2010-06"
"409",2010,"Brazil","Lula",75,3,20,20,0,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-06-21,"2010-2","2010-06"
"410",2010,"Brazil","Lula",76,4,20,19,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-06-30,"2010-2","2010-06"
"411",2010,"Brazil","Lula",77,4,20,19,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-07-23,"2010-3","2010-07"
"412",2010,"Brazil","Lula",77,4,19,18,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-07-29,"2010-3","2010-07"
"413",2010,"Brazil","Lula",77.5,4.6,18,15.4,2.6,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2010-08-02,"2010-3","2010-08"
"414",2010,"Brazil","Lula",77,4,18,18,0,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-08-12,"2010-3","2010-08"
"415",2010,"Brazil","Lula",78,4,18,18,0,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-08-15,"2010-3","2010-08"
"416",2010,"Brazil","Lula",79,4,17,17,0,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-08-24,"2010-3","2010-08"
"417",2010,"Brazil","Lula",78,4,17,17,0,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-08-26,"2010-3","2010-08"
"418",2010,"Brazil","Lula",77,4,19,18,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-09-02,"2010-3","2010-09"
"419",2010,"Brazil","Lula",78.3,3.9,17.7,15.9,1.8,"Ot-Bom",NA,NA,NA,NA,"Sensus",NA,"Rodrigues",NA,"LULA",2010-09-12,"2010-3","2010-09"
"420",2010,"Brazil","Lula",78,4,19,18,1,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-09-15,"2010-3","2010-09"
"421",2010,"Brazil","Lula",79,4,17,16,1,"Ot-Bom",NA,NA,NA,NA,"IBOPE",NA,"Rodrigues",NA,"LULA",2010-09-16,"2010-3","2010-09"
"422",2010,"Brazil","Lula",78,4,17,17,0,"Ot-Bom",NA,NA,NA,NA,"Datafolha",NA,"Rodrigues",NA,"LULA",2010-09-22,"2010-3","2010-09"
